"Freq [GHz]","im(S(1,1)) []","im(S(1,2)) []","im(S(1,3)) []","im(S(1,4)) []","im(S(1,5)) []","im(S(1,6)) []","im(S(2,1)) []","im(S(2,2)) []","im(S(2,3)) []","im(S(2,4)) []","im(S(2,5)) []","im(S(2,6)) []","im(S(3,1)) []","im(S(3,2)) []","im(S(3,3)) []","im(S(3,4)) []","im(S(3,5)) []","im(S(3,6)) []","im(S(4,1)) []","im(S(4,2)) []","im(S(4,3)) []","im(S(4,4)) []","im(S(4,5)) []","im(S(4,6)) []","im(S(5,1)) []","im(S(5,2)) []","im(S(5,3)) []","im(S(5,4)) []","im(S(5,5)) []","im(S(5,6)) []","im(S(6,1)) []","im(S(6,2)) []","im(S(6,3)) []","im(S(6,4)) []","im(S(6,5)) []","im(S(6,6)) []"
25,0.704453130814865,-0.115738906377215,-3.61559696710278E-05,6.54760660646378E-05,0.11219115654358,-0.0173570916706419,-0.115738906377215,0.6978563966903,1.83093814694147E-06,-9.99036715452024E-05,-0.0202566193293341,0.113510017487945,-3.61559696710428E-05,1.83093814704605E-06,0.111898880364537,-0.00017148052269368,-1.59643928267917E-05,-1.3441420740607E-05,6.54760660646449E-05,-9.99036715452269E-05,-0.000171480522693686,0.107092465433439,9.69020563199767E-06,-2.29107480862346E-06,0.112191156543585,-0.0202566193293349,-1.59643928267992E-05,9.69020563201092E-06,0.285424164635755,0.0813875224990799,-0.0173570916706455,0.113510017487944,-1.34414207405669E-05,-2.2910748086423E-06,0.081387522499086,0.280555809322258
26,0.594502629516902,0.0880546017178526,-6.50343752486264E-06,0.000237149472877837,-0.0337013561706838,0.256743537618558,0.0880546017178631,0.5898474830806,-1.01287506328222E-05,-0.000104512899279922,0.257741405598088,-0.0368461948838767,-6.50343752490751E-06,-1.01287506327938E-05,0.116472706502048,9.88178969587096E-06,-4.51398581891833E-05,1.58963028205667E-05,0.000237149472877828,-0.000104512899279938,9.88178969586187E-06,0.116235836349047,-6.12678014107054E-05,7.28175478285058E-05,-0.0337013561706556,0.257741405598055,-4.51398581891628E-05,-6.12678014106976E-05,0.433634159373421,-0.385250837573009,0.256743537618555,-0.0368461948838708,1.5896302820578E-05,7.28175478285002E-05,-0.385250837573772,0.43226808373494
27,-0.316860592846797,0.127158211129711,2.30151889587291E-05,0.000630024743752322,0.105601309896038,0.275159571493627,0.127158211129704,-0.309711689919678,-7.3390160265512E-06,0.0011476982757991,0.270221044614983,0.100502174215008,2.30151889586422E-05,-7.33901602655192E-06,0.121104275694669,8.81046564681344E-06,-5.75080660899482E-05,9.06816757792091E-05,0.000630024743752314,0.00114769827580206,8.81046564681671E-06,0.120818734688396,-0.00267840469468495,0.000646426108219699,0.105601309896032,0.270221044614952,-5.75080660898551E-05,-0.00267840469468435,0.568934084677031,-0.101609036906103,0.275159571493581,0.100502174215,9.06816757792426E-05,0.000646426108219675,-0.101609036905982,0.582206891369211
28,-0.360939682708217,-0.00945647474118567,3.99130559475858E-05,0.00227524929782932,0.28424787438824,0.126571904971994,-0.00945647474118715,-0.372085170373527,7.51347676092586E-05,2.70320593590959E-05,0.128170889349504,0.270037044190261,3.99130559474624E-05,7.51347676094549E-05,0.125864262751587,1.57069767136908E-05,-4.06141762974016E-05,-8.32479409381726E-06,0.00227524929782993,2.7032059359115E-05,1.57069767136848E-05,0.12547845481353,0.000243535262216602,0.00199736771199581,0.28424787438822,0.128170889349671,-4.0614176297108E-05,0.0002435352622167,0.588142274196359,-0.260239189670469,0.126571904972035,0.270037044190287,-8.32479409398377E-06,0.00199736771199554,-0.260239189670178,0.607181338492848
29,-0.223025837275836,-0.216390589126977,4.31225522157468E-06,-0.00323815554350776,0.0715471115163457,-0.636461503556208,-0.216390589127024,-0.229085389152647,0.000185507195042057,-6.42374509112236E-05,-0.597316346392458,0.0748041925976574,4.31225522148039E-06,0.000185507195030179,0.130896139375073,3.74294677626033E-05,-1.66635297980542E-05,7.05949604912239E-05,-0.00323815554350551,-6.42374509112337E-05,3.74294677625825E-05,0.130167816494667,0.000211067351568349,0.00257201385686125,0.0715471115163104,-0.597316346392963,-1.66635297974937E-05,0.000211067351568379,0.398988355199852,-0.195678239487391,-0.636461503556052,0.0748041925976551,7.05949604911028E-05,0.00257201385686122,-0.195678239487383,0.341662599018598
30,-0.380933791362376,0.0109609208771297,-0.000164571028371898,-0.000244574341006497,-0.0254270677472153,-0.354188881041271,0.010960920877132,-0.380900750675498,-0.000206911283978906,-0.000126641340206417,-0.354119372084264,-0.0256053971196995,-0.000164571028371897,-0.000206911283978824,0.136829250838811,0.000127116389738664,-0.000413566133046771,0.000326339825570193,-0.000244574341006467,-0.00012664134020642,0.000127116389738661,0.134841114346871,0.00019866418593998,-0.00027921236373366,-0.0254270677472109,-0.354119372084255,-0.000413566133046687,0.000198664185939905,0.574221540151369,-0.165881966401636,-0.354188881041277,-0.0256053971196969,0.000326339825570108,-0.000279212363733681,-0.165881966401635,0.574587394969183
31,-0.64748367711337,0.137389213839115,0.000147868059943546,0.00712765933108786,-0.0628748427822401,-0.235845256505413,0.137389213839111,-0.646682772909713,0.0197943916878963,-0.000709063085181122,-0.23240623853517,-0.0621389098305214,0.000147868059939445,0.0197943916879531,0.177574482317474,0.00327220902497669,-0.0351163355717326,0.0067711357897761,0.00712765933108636,-0.000709063085180123,0.00327220902497949,0.137135743666513,0.000415648145342506,-0.0580752486945857,-0.0628748427822239,-0.23240623853517,-0.0351163355717778,0.00041564814533928,-0.0407039722806561,-0.179025386342254,-0.235845256505406,-0.0621389098305243,0.00677113578977714,-0.0580752486945989,-0.179025386342238,-0.0419576248384583
32,-0.433345721319567,0.195981001052778,-0.0106443496262883,-0.00140306677492885,0.0123685064115421,-0.0508698157270172,0.195981001052778,-0.431352436759485,-0.00233602368079051,-0.000515212061008392,-0.0483323526762917,0.0220456676006637,-0.0106443496262992,-0.002336023680795,0.120874371237866,0.000709162840498631,0.00175719614397879,0.000957509286904601,-0.0014030667749283,-0.000515212061009646,0.000709162840499565,0.147056438130943,0.001960896897263,-0.000569096665351577,0.012368506411003,-0.0483323526763505,0.00175719614397452,0.00196089689726256,0.092630013755454,0.904808325136226,-0.0508698157270171,0.022045667600729,0.000957509286904523,-0.000569096665351321,0.904808325136595,0.0913466011773314
33,-0.624357831989096,0.134546514359363,0.000560831817965661,0.000821803013677159,0.000618711594002577,0.424393132155195,0.13454651435934,-0.622620566270304,0.000977245121140345,0.000312218126304201,0.427086350469753,0.016367916846018,0.00056083181796554,0.000977245121139744,0.153087409663663,0.000204566781758563,-0.00225785241632534,0.00355644272515475,0.000821803013677273,0.000312218126304271,0.000204566781758714,0.148838881220203,0.00357306517347058,-0.00196977754150782,0.000618711593931683,0.427086350469704,-0.00225785241632469,0.00357306517346764,0.252139358787885,0.0289589239966069,0.4243931321552,0.0163679168460344,0.00355644272515396,-0.00196977754150643,0.0289589239965421,0.248625186354682
34,-0.785744922861485,0.0394447320687139,0.000145076036071483,0.00153261707428514,-0.0371229544031473,0.501048551298928,0.0394447320687068,-0.785724684756919,0.00110278243088153,5.66846961669197E-05,0.50218618751548,-0.0330786237392498,0.000145076036071484,0.00110278243088103,0.156363878250034,9.46568018297007E-05,-0.00155409218850574,0.000991190616426605,0.00153261707428499,5.66846961670354E-05,9.46568018297324E-05,0.153925056094499,0.000931094800207568,-0.00153119651353069,-0.0371229544031453,0.502186187515437,-0.00155409218850557,0.000931094800207322,0.373505140354174,-0.0452770948472036,0.5010485512989,-0.0330786237392558,0.000991190616426503,-0.00153119651352937,-0.0452770948472417,0.366509457416529
