"Freq [GHz]","re(S(1,1)) []","re(S(1,2)) []","re(S(1,3)) []","re(S(1,4)) []","re(S(1,5)) []","re(S(1,6)) []","re(S(2,1)) []","re(S(2,2)) []","re(S(2,3)) []","re(S(2,4)) []","re(S(2,5)) []","re(S(2,6)) []","re(S(3,1)) []","re(S(3,2)) []","re(S(3,3)) []","re(S(3,4)) []","re(S(3,5)) []","re(S(3,6)) []","re(S(4,1)) []","re(S(4,2)) []","re(S(4,3)) []","re(S(4,4)) []","re(S(4,5)) []","re(S(4,6)) []","re(S(5,1)) []","re(S(5,2)) []","re(S(5,3)) []","re(S(5,4)) []","re(S(5,5)) []","re(S(5,6)) []","re(S(6,1)) []","re(S(6,2)) []","re(S(6,3)) []","re(S(6,4)) []","re(S(6,5)) []","re(S(6,6)) []"
25,-0.47707817894557,-0.0804505257950572,-3.42640992066083E-06,9.48607136391838E-05,-0.358336642385673,-0.177601517080458,-0.0804505257950563,-0.481745925541559,1.03806757360534E-05,-0.000102859421153673,-0.171901053517968,-0.364358527520006,-3.42640992067796E-06,1.03806757361479E-05,-0.990184789286294,-5.01305973827793E-05,-6.62595956288508E-05,9.4571909421876E-07,9.4860713639218E-05,-0.00010285942115376,-5.01305973827805E-05,-0.99064564845711,-0.000180232810115471,0.000265975798904451,-0.358336642385682,-0.171901053517962,-6.6259595628726E-05,-0.000180232810115461,0.771280629572046,-0.0301576072856023,-0.177601517080453,-0.364358527520008,9.4571909407904E-07,0.000265975798904447,-0.0301576072855952,0.768651703087941
26,0.604479189022901,-0.084982713251085,-1.91440873795394E-05,6.04857228898932E-05,0.0179629232793541,-0.298066836499441,-0.0849827132510849,0.606953821847528,1.53048344097335E-05,0.000102014802779806,-0.303260947116777,0.0243426146516925,-1.91440873795854E-05,1.53048344097782E-05,-0.98959457995919,-5.66127746817631E-06,-6.35011748282517E-05,7.6175329645467E-06,6.0485722889898E-05,0.000102014802779777,-5.66127746817407E-06,-0.990348403637293,-0.000458123252839684,0.00113780830455603,0.0179629232793417,-0.303260947116787,-6.35011748282345E-05,-0.000458123252839663,0.680562866770463,0.19773141915314,-0.298066836499465,0.0243426146517365,7.61753296443487E-06,0.00113780830455607,0.197731419152699,0.680647131443958
27,0.760755913577906,0.137567456708238,-4.34084822608192E-05,-8.05714705419814E-05,0.117271249221947,0.0100755293513871,0.13756745670824,0.773018131176901,3.47807834217953E-05,0.00194872076501798,0.00277952066780607,0.100940656429554,-4.34084822608817E-05,3.47807834217543E-05,-0.988939110426073,-3.82475928539167E-06,-2.26521233343094E-05,8.62145630550734E-05,-8.05714705420051E-05,0.00194872076501784,-3.82475928539178E-06,-0.989702441641768,-0.00318082220435504,0.00240002526419234,0.117271249221981,0.00277952066783174,-2.26521233343103E-05,-0.0031808222043548,0.510450033970743,0.112224752557361,0.010075529351373,0.100940656429557,8.62145630549101E-05,0.00240002526419229,0.112224752557038,0.502145947899395
28,0.453266442277637,0.255105207017986,-7.73013945981105E-05,-0.00097495440533125,-0.0165440203756473,-0.161945753359725,0.255105207017985,0.464418772044372,6.4073978439917E-05,-0.000543283334252473,-0.163104972707827,0.00173494926936997,-7.73013945981522E-05,6.40739784388417E-05,-0.988234767502703,-8.04849628495596E-06,7.91634377863949E-05,7.93807216598266E-05,-0.000974954405330668,-0.000543283334252599,-8.04849628495693E-06,-0.98901836975229,0.000610639831290079,0.00332310429848045,-0.0165440203757337,-0.163104972707844,7.91634377864313E-05,0.000610639831290013,0.251637849970321,0.157666488524161,-0.161945753359648,0.0017349492694147,7.93807216597068E-05,0.00332310429848046,0.157666488524071,0.196635453969912
29,0.591823838668698,0.152749463713576,-9.05560590359789E-05,0.00168858997862874,-0.17332872124911,-0.314140232849428,0.152749463713571,0.589430129093312,-0.000349726031918514,-0.000173109637033799,-0.347156504902622,-0.183287950951805,-9.0556059035968E-05,-0.000349726031915478,-0.987559630368271,-1.63967834443788E-05,0.000321307850025002,-4.09166215268048E-06,0.00168858997863138,-0.000173109637033942,-1.63967834443803E-05,-0.988308745827457,8.32734633918713E-05,0.00309578606820336,-0.173328721249049,-0.347156504903151,0.000321307850025048,8.32734633917907E-05,0.0843449263877012,0.285058494609681,-0.31414023284991,-0.183287950951827,-4.09166215282306E-06,0.00309578606820369,0.285058494609532,-0.0169270869217114
30,0.825148485436289,0.00890271105178153,0.000187584816735983,0.000329719516737366,-0.0922420779585377,0.103361163510439,0.00890271105178338,0.82522262921428,0.000372664437118903,0.000241893325201327,0.103175164747327,-0.0922429554653892,0.000187584816735982,0.000372664437118825,-0.987257497782861,-4.19012050093318E-05,0.00117945926839158,-0.000335281354402512,0.000329719516737375,0.000241893325201311,-4.19012050093284E-05,-0.987596982391348,-0.000563744166603108,0.0014270168056694,-0.0922420779585385,0.103175164747326,0.00117945926839175,-0.000563744166603135,0.475683723957386,0.340509163708077,0.103361163510443,-0.0922429554653861,-0.000335281354402578,0.00142701680566956,0.340509163708064,0.47489395713512
31,0.689312305031709,0.11266720647698,0.0100371385854302,-0.0116722371085103,-0.0635362070762312,-0.0560792995109102,0.112667206476986,0.691304411841467,-0.0049888351361036,0.00543682076515809,-0.0529719007542804,-0.0624669078408834,0.0100371385854309,-0.00498883513603215,-1.00421998434375,-0.00131459012096413,0.0164028429352983,-0.013070477566286,-0.0116722371085109,0.00543682076516308,-0.00131459012096563,-0.988154440391079,-0.0165478026821497,-0.0437510914518414,-0.0635362070762275,-0.0529719007542869,0.0164028429352887,-0.0165478026821475,0.313418336763855,0.502650564688472,-0.0560792995109038,-0.0624669078408799,-0.0130704775662851,-0.0437510914518466,0.502650564688476,0.323044686924365
32,0.533296620289822,0.087831296327221,0.00257820185519154,0.00490685874631009,-0.483709801067059,-0.297869854049045,0.0878312963271972,0.532780140910982,0.00533979465211299,0.000824666789953289,-0.29684957840094,-0.573298126858429,0.00257820185519987,0.00533979465211453,-0.970000939232913,0.00106620517460426,0.0132886671695836,0.0061994849426321,0.00490685874630986,0.000824666789948525,0.00106620517460367,-0.984747339663026,0.00560794432927022,0.0124702639473358,-0.483709801066652,-0.296849578400925,0.0132886671695855,0.0056079443292698,0.513297789666299,-0.111345808528569,-0.297869854049061,-0.573298126858702,0.00619948494263259,0.012470263947336,-0.111345808528442,0.512549682421038
33,0.624208195942452,0.0303209738369528,-5.37280117370048E-05,0.0031302997459329,0.067220885447009,-0.264445314907798,0.0303209738369375,0.632625677152211,0.00185583884619712,-0.00132655429612157,-0.263076548856612,0.0645102049963506,-5.37280117363535E-05,0.00185583884619567,-0.985919184324032,-0.000101890567923735,0.00374660265094284,-0.00184372947529555,0.00313029974593293,-0.00132655429612024,-0.000101890567923645,-0.985310183034538,-0.00395588488474891,0.00511642691960198,0.0672208854469369,-0.263076548856632,0.00374660265094352,-0.00395588488475013,0.614544650542377,0.0335233392465315,-0.264445314907775,0.0645102049963502,-0.00184372947529504,0.00511642691960152,0.0335233392465732,0.601999755685485
34,0.271082592601069,0.0411670936689087,-0.000585694036671925,0.00105023421280576,0.0172624935749673,0.157990580341029,0.0411670936689094,0.272673735453147,0.000594958357799954,-0.000822171687103777,0.155661742228232,0.018541749611276,-0.000585694036671879,0.000594958357799786,-0.983981627618892,-0.000145681118525652,0.00195148484234146,-0.0011769048533079,0.00105023421280569,-0.00082217168710366,-0.000145681118525641,-0.984332364631802,-0.00155884221229286,0.00254165191415202,0.0172624935749437,0.155661742228238,0.00195148484234134,-0.00155884221229269,0.653834778493995,0.0917631448971867,0.157990580341011,0.0185417496112699,-0.0011769048533078,0.00254165191415194,0.091763144897191,0.64955649997509
